Bag Barcode,Batch No,Entry Date,Shift,Machine,Part No / Code,Bag Type,Weight (kg),Approx Qty,Sheet Status,Trim Required (Part Master),Trim Logged?,Inspection Logged?,Packing Logged?,Current Lifecycle Status,Next Stage / Availability
"21120926A-003","21120926A","2026-09-12","A","HSIM - 04","DH7AA","PART",2.58,359,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"21120926A-004","21120926A","2026-09-12","A","HSIM - 04","DH7AA","PART",4.21,586,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"21120926A-005","21120926A","2026-09-12","A","HSIM - 04","DH7AA","PART",4.29,597,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"21120926A-006","21120926A","2026-09-12","A","HSIM - 04","DH7AA","PART",4.67,650,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"21120926A-R01","21120926A","2026-09-12","A","HSIM - 04","DH7AA","RUNNER",2.2,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"21120926A-REJ-112612","21120926A","2026-09-12","A","HSIM - 04","DH7AA","PART",0.14,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-001","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",5.54,1215,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-002","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",5.25,1151,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-003","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",5.05,1107,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-004","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",5.8,1272,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-005","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",1.27,279,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-R01","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","RUNNER",2.84,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"14120926A-REJ-112741","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",0.022,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"14120926A-LUMP-112741","14120926A","2026-09-12","A","HSIM - 05","HA715 - W501","PART",0.043,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"B9120926A-001","B9120926A","2026-09-12","A","VIM - 02","9AB","PART",5.56,1794,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"B9120926A-002","B9120926A","2026-09-12","A","VIM - 02","9AB","PART",1.95,629,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"B9120926A-003","B9120926A","2026-09-12","A","VIM - 02","9AB","PART",2.53,816,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"B9120926A-R01","B9120926A","2026-09-12","A","VIM - 02","9AB","RUNNER",0.8,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"B9120926A-REJ-112859","B9120926A","2026-09-12","A","VIM - 02","9AB","PART",0.136,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"W15120926A-003","W15120926A","2026-09-12","A","VSIM - 01","NA-LC","PART",2.86,2000,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"W15120926A-R01","W15120926A","2026-09-12","A","VSIM - 01","NA-LC","RUNNER",1.04,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"W15120926A-REJ-113216","W15120926A","2026-09-12","A","VSIM - 01","NA-LC","PART",0.031,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"W15120926A-LUMP-113216","W15120926A","2026-09-12","A","VSIM - 01","NA-LC","PART",0.025,0,"N/A",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
