Using SSH key from file C:\Users\KNALHOME\.ssh\id_ed25519_railway.pub: railway-backup-temp
Pager usage is off.
  id   |     part_code      |   erp_shrp_code    |   customer_part_no   | active | cavity_count | canon_cavity | part_weight_g | canon_weight | hist_total |          classification          |                                              reason                                              
  8974 | VW DIA 16 - HW773A | VW DIA 16 - HW773A | HW773G9E1A01         | t      |            6 |            6 |           1.2 |          1.2 |         34 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=VW DIA 16 - HW773A; holds real history (prod=14 bags=19 mach=1 fpa=0)
  8975 | VW DIA 8 - HW773B  | VW DIA 8 - HW773B  | HW773G9E1B01         | t      |            6 |            6 |          0.34 |         0.34 |         32 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=VW DIA 8 - HW773B; holds real history (prod=11 bags=21 mach=0 fpa=0)
  8976 | NCBA               | NCBA               | R230-NC5BA-01        | t      |            4 |            4 |          5.99 |         5.99 |         59 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=NCBA; holds real history (prod=13 bags=46 mach=0 fpa=0)
  8977 | NCBB               | NCBB               | R230-NC5BB-01        | t      |            4 |            4 |           6.2 |          6.2 |         52 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=NCBB; holds real history (prod=11 bags=41 mach=0 fpa=0)
  8979 | 2100               | 2100               | V0LC-01C021-00       | t      |            6 |            6 |          1.88 |         1.88 |         21 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=2100; holds real history (prod=7 bags=14 mach=0 fpa=0)
  8980 | 2200               | 2200               | V0LC-01C022-00       | t      |            6 |            6 |          1.62 |         1.62 |         84 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=2200; holds real history (prod=27 bags=57 mach=0 fpa=0)
  8981 | 2800               | 2800               | V0LC-01C028-00       | t      |            4 |            4 |          2.26 |         2.26 |         11 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=2800; holds real history (prod=3 bags=8 mach=0 fpa=0)
  8982 | VPAA               | VPAA               | VP5N1H-407721-AA     | t      |            6 |            6 |          1.71 |         1.71 |         25 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=VPAA; holds real history (prod=9 bags=16 mach=0 fpa=0)
  8983 | VPFA               | VPFA               | VP5N1H-407721-FA     | t      |            6 |            6 |          2.24 |         2.24 |          1 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=VPFA; holds real history (prod=0 bags=0 mach=1 fpa=0)
  8984 | DM1C               | DM1C               | DM1C4UBH1B01         | t      |            8 |            8 |          1.29 |         1.29 |          1 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=DM1C; holds real history (prod=0 bags=0 mach=1 fpa=0)
